"AREA","PERIMETER","MAJOR_AXIS","MINOR_AXIS","ECCENTRICITY","EQDIASQ","SOLIDITY","CONVEX_AREA","ASPECT_RATIO","ROUNDNESS","CLASS"
6025,311.846,130.8405,59.0811,0.8922,87.5858,0.98,6148,2.2146,0.7786,1
7487,339.559,139.0905,69.0309,0.8681,97.6358,0.98,7640,2.0149,0.816,1
6297,306.809,124.4858,64.8786,0.8535,89.541,0.9811,6418,1.9187,0.8406,1
6920,332.074,134.2344,67.4435,0.8646,93.866,0.9697,7136,1.9903,0.7886,1
8938,373.674,151.478,76.1875,0.8643,106.6781,0.9694,9220,1.9882,0.8044,1
7999,356.224,146.0496,70.6863,0.8751,100.919,0.9683,8261,2.0662,0.7921,1
7383,331.787,134.5808,70.8567,0.8502,96.9553,0.9864,7485,1.8993,0.8428,1
5805,295.94,124.0501,59.9208,0.8756,85.9718,0.9888,5871,2.0702,0.8329,1
8162,351.442,140.1335,75.1307,0.8441,101.942,0.9743,8377,1.8652,0.8304,1
9368,386.302,155.1334,78.1285,0.8639,109.2141,0.9623,9735,1.9856,0.7889,1
7093,330.157,137.3916,66.2864,0.8759,95.032,0.9817,7225,2.0727,0.8177,1
7853,348.101,140.4545,72.0016,0.8586,99.9938,0.9701,8095,1.9507,0.8144,1
8438,363.483,148.6913,72.7796,0.872,103.6513,0.98,8610,2.043,0.8026,1
7601,340.31,138.9109,70.31,0.8624,98.3763,0.9818,7742,1.9757,0.8248,1
7685,346.09,142.4099,69.2551,0.8738,98.9184,0.9786,7853,2.0563,0.8063,1
7502,338.07,139.1954,69.3637,0.867,97.7335,0.9846,7619,2.0067,0.8248,1
7436,338.44,134.6466,71.4818,0.8474,97.3027,0.9641,7713,1.8836,0.8158,1
7759,350.771,142.2813,70.4906,0.8686,99.3935,0.9805,7913,2.0184,0.7924,1
8037,350.444,142.444,72.6927,0.86,101.1584,0.983,8176,1.9595,0.8224,1
8481,364.048,149.8762,72.2992,0.876,103.9151,0.979,8663,2.073,0.8042,1
8909,367.155,147.8226,77.7201,0.8506,106.5049,0.9734,9152,1.902,0.8305,1
6673,317.74,127.2019,68.0033,0.8451,92.1755,0.9717,6867,1.8705,0.8306,1
7197,331.611,131.4628,71.1156,0.8411,95.7262,0.9783,7357,1.8486,0.8224,1
7532,331.395,129.5887,74.9015,0.816,97.9287,0.983,7662,1.7301,0.8618,1
6164,311.628,129.5628,61.124,0.8817,88.5903,0.9753,6320,2.1197,0.7976,1
7627,338.638,133.4929,73.3404,0.8356,98.5444,0.9759,7815,1.8202,0.8358,1
6904,326.812,136.1001,64.9041,0.879,93.7574,0.9825,7027,2.0969,0.8123,1
8506,361.688,149.6356,73.0445,0.8728,104.0681,0.9822,8660,2.0486,0.8171,1
6799,322.768,130.3031,67.3764,0.8559,93.0417,0.9764,6963,1.934,0.8201,1
7384,331.703,133.3593,70.9067,0.8469,96.9619,0.9758,7567,1.8808,0.8433,1
7073,328.675,132.6733,68.5893,0.856,94.898,0.9763,7245,1.9343,0.8228,1
7811,342.178,139.8779,71.2939,0.8604,99.726,0.9826,7949,1.962,0.8383,1
7415,336.588,134.2723,71.2613,0.8475,97.1652,0.9718,7630,1.8842,0.8225,1
7361,332,132.3911,71.9142,0.8396,96.8107,0.9811,7503,1.841,0.8392,1
8060,354.44,149.2855,69.4275,0.8853,101.3031,0.9875,8162,2.1502,0.8062,1
8499,362.474,143.0752,76.8015,0.8437,104.0253,0.9743,8723,1.8629,0.8129,1
7327,336.781,137.2396,68.7178,0.8656,96.5869,0.9771,7499,1.9971,0.8118,1
6508,320.676,133.8393,62.6532,0.8837,91.0288,0.982,6627,2.1362,0.7953,1
8095,353.741,141.3469,73.8458,0.8527,101.5228,0.971,8337,1.9141,0.8129,1
8845,365.074,148.6103,76.2177,0.8585,106.1216,0.9793,9032,1.9498,0.834,1
8503,358.578,145.7168,75.0652,0.8571,104.0498,0.9832,8648,1.9412,0.831,1
6355,299.921,117.3289,69.9933,0.8026,89.9524,0.9859,6446,1.6763,0.8878,1
6728,323.802,134.9102,64.0556,0.8801,92.5546,0.9809,6859,2.1061,0.8064,1
7307,330.394,133.9238,70.093,0.8521,96.455,0.9841,7425,1.9107,0.8412,1
7314,334.206,138.7648,67.4964,0.8737,96.5012,0.9839,7434,2.0559,0.8229,1
6755,316.5,130.0449,66.5082,0.8593,92.7401,0.9844,6862,1.9553,0.8474,1
8314,349.962,138.2939,77.0194,0.8306,102.8869,0.9788,8494,1.7956,0.8531,1
7970,343.923,141.2514,72.1466,0.8597,100.7359,0.9835,8104,1.9578,0.8467,1
